 ;SB 5000TL-20 442 / power / Wartości średnie  [W]0
00:15. 14;
00:30. 14;
00:45. 14;
01:00. 14;
01:15. 14;
01:30. 14;
01:45. 14;
02:00. 14;
02:15. 14;
02:30. 14;
02:45. 14;
03:00. 14;
03:15. 14;
03:30. 14;
03:45. 14;
04:00. 14;
04:15. 14;
04:30. 14;
04:45. 14;
05:00. 14;
05:15. 14;
05:30. 14;
05:45. 14;
06:00. 14;
06:15. 14;
06:30. 14;"0,000"
06:45. 14;"19,150"
07:00. 14;"69,260"
07:15. 14;"216,900"
07:30. 14;"321,000"
07:45. 14;"310,030"
08:00. 14;"435,370"
08:15. 14;"474,920"
08:30. 14;"387,720"
08:45. 14;"377,200"
09:00. 14;"248,470"
09:15. 14;"410,390"
09:30. 14;"650,000"
09:45. 14;"1013,630"
10:00. 14;"1233,370"
10:15. 14;"1350,970"
10:30. 14;"4165,260"
10:45. 14;"3666,730"
11:00. 14;"1786,470"
11:15. 14;"1668,040"
11:30. 14;"4068,530"
11:45. 14;"3589,870"
12:00. 14;"3687,320"
12:15. 14;"3941,640"
12:30. 14;"3933,790"
12:45. 14;"3789,630"
13:00. 14;"3899,650"
13:15. 14;"3781,910"
13:30. 14;"3711,580"
13:45. 14;"3576,690"
14:00. 14;"3476,050"
14:15. 14;"3387,260"
14:30. 14;"3222,100"
14:45. 14;"3036,520"
15:00. 14;"2296,100"
15:15. 14;"2473,900"
15:30. 14;"2565,000"
15:45. 14;"2139,550"
16:00. 14;"1917,160"
16:15. 14;"1692,170"
16:30. 14;"1621,370"
16:45. 14;"1167,680"
17:00. 14;"725,260"
17:15. 14;"619,400"
17:30. 14;"474,950"
17:45. 14;"315,970"
18:00. 14;"230,630"
18:15. 14;"217,840"
18:30. 14;"176,210"
18:45. 14;"110,230"
19:00. 14;"86,320"
19:15. 14;"43,260"
19:30. 14;"19,950"
19:45. 14;"6,430"
20:00. 14;"0,000"
20:15. 14;
20:30. 14;
20:45. 14;
21:00. 14;
21:15. 14;
21:30. 14;
21:45. 14;
22:00. 14;
22:15. 14;
22:30. 14;
22:45. 14;
23:00. 14;
23:15. 14;
23:30. 14;
23:45. 14;
00:00. 15;
00:15. 15;
00:30. 15;
00:45. 15;
01:00. 15;
01:15. 15;
01:30. 15;
01:45. 15;
02:00. 15;
02:15. 15;
02:30. 15;
02:45. 15;
03:00. 15;
03:15. 15;
03:30. 15;
03:45. 15;
04:00. 15;
04:15. 15;
04:30. 15;
04:45. 15;
05:00. 15;
05:15. 15;
05:30. 15;
05:45. 15;
06:00. 15;
06:15. 15;"0,000"
06:30. 15;"4,700"
06:45. 15;"49,130"
07:00. 15;"104,370"
07:15. 15;"137,200"
07:30. 15;"183,890"
07:45. 15;"313,370"
08:00. 15;"407,500"
08:15. 15;"395,610"
08:30. 15;"359,700"
08:45. 15;"455,100"
09:00. 15;"413,350"
09:15. 15;"286,420"
09:30. 15;"459,470"
09:45. 15;"257,920"
10:00. 15;"233,530"
10:15. 15;"292,160"
10:30. 15;"358,900"
10:45. 15;"967,000"
11:00. 15;"983,950"
11:15. 15;"699,200"
11:30. 15;"1362,530"
11:45. 15;"935,400"
12:00. 15;"659,250"
12:15. 15;"1598,430"
12:30. 15;"2545,220"
12:45. 15;"1651,870"
13:00. 15;"1191,100"
13:15. 15;"689,540"
13:30. 15;"585,060"
13:45. 15;"973,690"
14:00. 15;"1277,780"
14:15. 15;"865,500"
14:30. 15;"675,790"
14:45. 15;"657,370"
15:00. 15;"701,450"
15:15. 15;"592,240"
15:30. 15;"569,260"
15:45. 15;"293,400"
16:00. 15;"185,950"
16:15. 15;"337,360"
16:30. 15;"242,720"
16:45. 15;"177,730"
17:00. 15;"137,900"
17:15. 15;"127,530"
17:30. 15;"173,900"
17:45. 15;"126,880"
18:00. 15;"71,000"
18:15. 15;"43,940"
18:30. 15;"27,740"
18:45. 15;"42,130"
19:00. 15;"31,940"
19:15. 15;"9,610"
19:30. 15;"0,000"
19:45. 15;"0,000"
20:00. 15;
20:15. 15;
20:30. 15;
20:45. 15;
21:00. 15;
21:15. 15;
21:30. 15;
21:45. 15;
22:00. 15;
22:15. 15;
22:30. 15;
22:45. 15;
23:00. 15;
23:15. 15;
23:30. 15;
23:45. 15;
00:00. 16;
00:15. 16;
00:30. 16;
00:45. 16;
01:00. 16;
01:15. 16;
01:30. 16;
01:45. 16;
02:00. 16;
02:15. 16;
02:30. 16;
02:45. 16;
03:00. 16;
03:15. 16;
03:30. 16;
03:45. 16;
04:00. 16;
04:15. 16;
04:30. 16;
04:45. 16;
05:00. 16;
05:15. 16;
05:30. 16;
05:45. 16;
06:00. 16;
06:15. 16;"2,650"
06:30. 16;"30,210"
06:45. 16;"80,430"
07:00. 16;"121,900"
07:15. 16;"127,090"
07:30. 16;"121,500"
07:45. 16;"162,840"
08:00. 16;"212,950"
08:15. 16;"256,160"
08:30. 16;"1436,330"
08:45. 16;"2300,570"
09:00. 16;"2561,160"
09:15. 16;"2828,100"
09:30. 16;"3027,530"
09:45. 16;"3179,520"
10:00. 16;"3338,470"
10:15. 16;"3477,750"
10:30. 16;"3625,950"
10:45. 16;"3766,500"
11:00. 16;"3809,840"
11:15. 16;"3860,250"
11:30. 16;"3938,790"
11:45. 16;"3977,840"
12:00. 16;"4024,780"
12:15. 16;"4037,770"
12:30. 16;"4026,100"
12:45. 16;"4011,910"
13:00. 16;"3984,840"
13:15. 16;"3931,870"
13:30. 16;"3897,170"
13:45. 16;"3815,240"
14:00. 16;"3678,000"
14:15. 16;"3503,950"
14:30. 16;"3429,530"
14:45. 16;"3309,710"
15:00. 16;"3120,790"
15:15. 16;"2253,120"
15:30. 16;"1154,840"
15:45. 16;"2328,460"
16:00. 16;"2286,470"
16:15. 16;"1991,710"
