 ;SB 5000TL-20 442 / voltage / Wartości średnie  [V]0
00:15. 14;
00:30. 14;
00:45. 14;
01:00. 14;
01:15. 14;
01:30. 14;
01:45. 14;
02:00. 14;
02:15. 14;
02:30. 14;
02:45. 14;
03:00. 14;
03:15. 14;
03:30. 14;
03:45. 14;
04:00. 14;
04:15. 14;
04:30. 14;
04:45. 14;
05:00. 14;
05:15. 14;
05:30. 14;
05:45. 14;
06:00. 14;
06:15. 14;
06:30. 14;"239,620"
06:45. 14;"239,840"
07:00. 14;"239,630"
07:15. 14;"239,500"
07:30. 14;"240,080"
07:45. 14;"239,680"
08:00. 14;"239,830"
08:15. 14;"239,490"
08:30. 14;"239,080"
08:45. 14;"241,730"
09:00. 14;"242,050"
09:15. 14;"242,250"
09:30. 14;"243,140"
09:45. 14;"243,610"
10:00. 14;"244,540"
10:15. 14;"245,140"
10:30. 14;"249,070"
10:45. 14;"247,760"
11:00. 14;"245,180"
11:15. 14;"245,570"
11:30. 14;"247,950"
11:45. 14;"245,450"
12:00. 14;"245,730"
12:15. 14;"246,390"
12:30. 14;"246,150"
12:45. 14;"245,800"
13:00. 14;"246,140"
13:15. 14;"245,390"
13:30. 14;"244,840"
13:45. 14;"244,860"
14:00. 14;"245,060"
14:15. 14;"245,290"
14:30. 14;"244,760"
14:45. 14;"244,390"
15:00. 14;"243,320"
15:15. 14;"243,880"
15:30. 14;"243,840"
15:45. 14;"243,050"
16:00. 14;"242,430"
16:15. 14;"242,620"
16:30. 14;"242,090"
16:45. 14;"241,150"
17:00. 14;"240,280"
17:15. 14;"241,240"
17:30. 14;"240,890"
17:45. 14;"240,400"
18:00. 14;"240,350"
18:15. 14;"241,140"
18:30. 14;"240,330"
18:45. 14;"239,490"
19:00. 14;"239,890"
19:15. 14;"240,480"
19:30. 14;"240,040"
19:45. 14;"239,530"
20:00. 14;"239,170"
20:15. 14;
20:30. 14;
20:45. 14;
21:00. 14;
21:15. 14;
21:30. 14;
21:45. 14;
22:00. 14;
22:15. 14;
22:30. 14;
22:45. 14;
23:00. 14;
23:15. 14;
23:30. 14;
23:45. 14;
00:00. 15;
00:15. 15;
00:30. 15;
00:45. 15;
01:00. 15;
01:15. 15;
01:30. 15;
01:45. 15;
02:00. 15;
02:15. 15;
02:30. 15;
02:45. 15;
03:00. 15;
03:15. 15;
03:30. 15;
03:45. 15;
04:00. 15;
04:15. 15;
04:30. 15;
04:45. 15;
05:00. 15;
05:15. 15;
05:30. 15;
05:45. 15;
06:00. 15;
06:15. 15;"239,670"
06:30. 15;"240,630"
06:45. 15;"240,500"
07:00. 15;"240,770"
07:15. 15;"240,190"
07:30. 15;"240,290"
07:45. 15;"240,600"
08:00. 15;"240,460"
08:15. 15;"239,990"
08:30. 15;"240,080"
08:45. 15;"239,990"
09:00. 15;"240,360"
09:15. 15;"241,240"
09:30. 15;"241,700"
09:45. 15;"242,530"
10:00. 15;"242,810"
10:15. 15;"243,520"
10:30. 15;"243,500"
10:45. 15;"243,810"
11:00. 15;"243,440"
11:15. 15;"243,760"
11:30. 15;"245,320"
11:45. 15;"244,500"
12:00. 15;"244,010"
12:15. 15;"245,470"
12:30. 15;"246,700"
12:45. 15;"245,100"
13:00. 15;"244,730"
13:15. 15;"243,580"
13:30. 15;"243,040"
13:45. 15;"243,580"
14:00. 15;"244,720"
14:15. 15;"243,940"
14:30. 15;"242,730"
14:45. 15;"242,910"
15:00. 15;"242,820"
15:15. 15;"242,640"
15:30. 15;"242,130"
15:45. 15;"242,720"
16:00. 15;"242,470"
16:15. 15;"242,900"
16:30. 15;"242,260"
16:45. 15;"242,380"
17:00. 15;"242,270"
17:15. 15;"242,370"
17:30. 15;"242,420"
17:45. 15;"242,480"
18:00. 15;"241,510"
18:15. 15;"242,260"
18:30. 15;"242,180"
18:45. 15;"241,550"
19:00. 15;"241,630"
19:15. 15;"242,440"
19:30. 15;"242,360"
19:45. 15;"242,070"
20:00. 15;
20:15. 15;
20:30. 15;
20:45. 15;
21:00. 15;
21:15. 15;
21:30. 15;
21:45. 15;
22:00. 15;
22:15. 15;
22:30. 15;
22:45. 15;
23:00. 15;
23:15. 15;
23:30. 15;
23:45. 15;
00:00. 16;
00:15. 16;
00:30. 16;
00:45. 16;
01:00. 16;
01:15. 16;
01:30. 16;
01:45. 16;
02:00. 16;
02:15. 16;
02:30. 16;
02:45. 16;
03:00. 16;
03:15. 16;
03:30. 16;
03:45. 16;
04:00. 16;
04:15. 16;
04:30. 16;
04:45. 16;
05:00. 16;
05:15. 16;
05:30. 16;
05:45. 16;
06:00. 16;
06:15. 16;"240,510"
06:30. 16;"239,510"
06:45. 16;"239,480"
07:00. 16;"239,870"
07:15. 16;"239,790"
07:30. 16;"239,730"
07:45. 16;"239,660"
08:00. 16;"240,080"
08:15. 16;"240,030"
08:30. 16;"242,300"
08:45. 16;"243,480"
09:00. 16;"244,300"
09:15. 16;"244,660"
09:30. 16;"244,590"
09:45. 16;"245,210"
10:00. 16;"245,290"
10:15. 16;"245,700"
10:30. 16;"245,560"
10:45. 16;"245,110"
11:00. 16;"244,780"
11:15. 16;"244,780"
11:30. 16;"244,450"
11:45. 16;"244,470"
12:00. 16;"244,700"
12:15. 16;"244,680"
12:30. 16;"244,600"
12:45. 16;"244,460"
13:00. 16;"244,830"
13:15. 16;"244,730"
13:30. 16;"244,710"
13:45. 16;"244,900"
14:00. 16;"244,950"
14:15. 16;"245,160"
14:30. 16;"244,830"
14:45. 16;"244,300"
15:00. 16;"243,880"
15:15. 16;"242,940"
15:30. 16;"242,140"
15:45. 16;"243,220"
16:00. 16;"243,170"
16:15. 16;"243,050"
16:30. 16;"243,140"
16:45. 16;"242,770"
17:00. 16;"242,350"
17:15. 16;"241,860"
17:30. 16;"240,740"
