 ;SB 5000TL-20 442 / current / Wartości średnie  [A]0
00:15. 21;
00:30. 21;
00:45. 21;
01:00. 21;
01:15. 21;
01:30. 21;
01:45. 21;
02:00. 21;
02:15. 21;
02:30. 21;
02:45. 21;
03:00. 21;
03:15. 21;
03:30. 21;
03:45. 21;
04:00. 21;
04:15. 21;
04:30. 21;
04:45. 21;
05:00. 21;
05:15. 21;
05:30. 21;
05:45. 21;
06:00. 21;"0,000"
06:15. 21;"0,160"
06:30. 21;"0,490"
06:45. 21;"0,800"
07:00. 21;"1,140"
07:15. 21;"1,580"
07:30. 21;"1,780"
07:45. 21;"2,060"
08:00. 21;"2,420"
08:15. 21;"2,920"
08:30. 21;"5,630"
08:45. 21;"7,010"
09:00. 21;"8,500"
09:15. 21;"7,480"
09:30. 21;"9,910"
09:45. 21;"10,500"
10:00. 21;"13,150"
10:15. 21;"12,760"
10:30. 21;"14,000"
10:45. 21;"14,650"
11:00. 21;"15,200"
11:15. 21;"15,290"
11:30. 21;"15,460"
11:45. 21;"14,850"
12:00. 21;"15,310"
12:15. 21;"15,420"
12:30. 21;"15,090"
12:45. 21;"14,350"
13:00. 21;"14,690"
13:15. 21;"14,300"
13:30. 21;"14,130"
13:45. 21;"12,360"
14:00. 21;"12,070"
14:15. 21;"10,970"
14:30. 21;"11,150"
14:45. 21;"10,080"
15:00. 21;"10,020"
15:15. 21;"8,360"
15:30. 21;"8,030"
15:45. 21;"7,140"
16:00. 21;"4,840"
16:15. 21;"5,450"
16:30. 21;"3,140"
16:45. 21;"4,540"
17:00. 21;"5,470"
17:15. 21;"3,400"
17:30. 21;"2,480"
17:45. 21;"1,650"
18:00. 21;"1,280"
18:15. 21;"1,230"
18:30. 21;"0,870"
18:45. 21;"0,690"
19:00. 21;"0,440"
19:15. 21;"0,460"
19:30. 21;"0,260"
19:45. 21;"0,080"
20:00. 21;"0,000"
20:15. 21;"0,000"
20:30. 21;
20:45. 21;
21:00. 21;
21:15. 21;
21:30. 21;
21:45. 21;
22:00. 21;
22:15. 21;
22:30. 21;
22:45. 21;
23:00. 21;
23:15. 21;
23:30. 21;
23:45. 21;
00:00. 22;
00:15. 22;
00:30. 22;
00:45. 22;
01:00. 22;
01:15. 22;
01:30. 22;
01:45. 22;
02:00. 22;
02:15. 22;
02:30. 22;
02:45. 22;
03:00. 22;
03:15. 22;
03:30. 22;
03:45. 22;
04:00. 22;
04:15. 22;
04:30. 22;
04:45. 22;
05:00. 22;
05:15. 22;
05:30. 22;
05:45. 22;
06:00. 22;
06:15. 22;"0,000"
06:30. 22;"0,000"
06:45. 22;"0,000"
07:00. 22;"0,000"
07:15. 22;"0,000"
07:30. 22;"0,000"
07:45. 22;"0,380"
08:00. 22;"1,690"
08:15. 22;"3,190"
08:30. 22;"8,500"
08:45. 22;"6,460"
09:00. 22;"11,580"
09:15. 22;"10,130"
09:30. 22;"10,320"
09:45. 22;"8,900"
10:00. 22;"12,110"
10:15. 22;"11,170"
10:30. 22;"15,040"
10:45. 22;"15,420"
11:00. 22;"15,580"
11:15. 22;"16,290"
11:30. 22;"16,450"
11:45. 22;"16,520"
12:00. 22;"13,460"
12:15. 22;"16,270"
12:30. 22;"16,590"
12:45. 22;"16,340"
13:00. 22;"16,350"
13:15. 22;"16,030"
13:30. 22;"15,680"
13:45. 22;"15,400"
14:00. 22;"15,110"
14:15. 22;"14,540"
14:30. 22;"14,080"
14:45. 22;"13,520"
15:00. 22;"12,950"
15:15. 22;"12,360"
15:30. 22;"9,780"
15:45. 22;"10,460"
16:00. 22;"10,270"
16:15. 22;"4,910"
16:30. 22;"7,030"
16:45. 22;"4,500"
17:00. 22;"6,840"
17:15. 22;"3,940"
17:30. 22;"2,950"
17:45. 22;"1,680"
18:00. 22;"1,370"
18:15. 22;"1,040"
18:30. 22;"0,900"
18:45. 22;"1,120"
19:00. 22;"0,690"
19:15. 22;"0,390"
19:30. 22;"0,340"
19:45. 22;"0,150"
20:00. 22;"0,000"
20:15. 22;"0,000"
20:30. 22;
20:45. 22;
21:00. 22;
21:15. 22;
21:30. 22;
21:45. 22;
22:00. 22;
22:15. 22;
22:30. 22;
