 ;SB 5000TL-20 442 / Power / Wartości średnie  [W]0
00:15. 31;
00:30. 31;
00:45. 31;
01:00. 31;
01:15. 31;
01:30. 31;
01:45. 31;
02:00. 31;
02:15. 31;
02:30. 31;
02:45. 31;
03:00. 31;
03:15. 31;
03:30. 31;
03:45. 31;
04:00. 31;
04:15. 31;
04:30. 31;
04:45. 31;
05:00. 31;
05:15. 31;
05:30. 31;
05:45. 31;
06:00. 31;
06:15. 31;
06:30. 31;
06:45. 31;
07:00. 31;
07:15. 31;"0,000"
07:30. 31;"0,000"
07:45. 31;"0,000"
08:00. 31;"0,000"
08:15. 31;"0,000"
08:30. 31;"0,000"
08:45. 31;"115,460"
09:00. 31;"256,860"
09:15. 31;"434,600"
09:30. 31;"513,670"
09:45. 31;"432,780"
10:00. 31;"288,540"
10:15. 31;"456,840"
10:30. 31;"477,290"
10:45. 31;"708,040"
11:00. 31;"1078,150"
11:15. 31;"1041,810"
11:30. 31;"2385,520"
11:45. 31;"1103,590"
12:00. 31;"1151,520"
12:15. 31;"630,100"
12:30. 31;"1064,760"
12:45. 31;"1161,910"
13:00. 31;"1028,860"
13:15. 31;"1629,860"
13:30. 31;"1477,450"
13:45. 31;"1097,480"
14:00. 31;"834,950"
14:15. 31;"959,300"
14:30. 31;"645,950"
14:45. 31;"573,570"
15:00. 31;"677,520"
15:15. 31;"715,590"
15:30. 31;"531,900"
15:45. 31;"395,970"
16:00. 31;"419,870"
16:15. 31;"494,100"
16:30. 31;"629,050"
16:45. 31;"343,090"
17:00. 31;"679,100"
17:15. 31;"626,910"
17:30. 31;"536,900"
17:45. 31;"448,320"
18:00. 31;"200,240"
18:15. 31;"91,440"
18:30. 31;"53,810"
18:45. 31;"35,500"
19:00. 31;"21,680"
19:15. 31;"2,070"
19:30. 31;"0,000"
19:45. 31;
20:00. 31;
20:15. 31;
20:30. 31;
20:45. 31;
21:00. 31;
21:15. 31;
21:30. 31;
21:45. 31;
22:00. 31;
22:15. 31;
22:30. 31;
22:45. 31;
23:00. 31;
23:15. 31;
23:30. 31;
23:45. 31;
00:00. 1;
00:15. 1;
00:30. 1;
00:45. 1;
01:00. 1;
01:15. 1;
01:30. 1;
01:45. 1;
02:00. 1;
02:15. 1;
02:30. 1;
02:45. 1;
03:00. 1;
03:15. 1;
03:30. 1;
03:45. 1;
04:00. 1;
04:15. 1;
04:30. 1;
04:45. 1;
05:00. 1;
05:15. 1;
05:30. 1;
05:45. 1;
06:00. 1;
06:15. 1;
06:30. 1;
06:45. 1;"0,000"
07:00. 1;"15,050"
07:15. 1;"55,730"
07:30. 1;"113,460"
07:45. 1;"152,020"
08:00. 1;"217,760"
08:15. 1;"269,170"
08:30. 1;"282,330"
08:45. 1;"850,630"
09:00. 1;"2525,190"
09:15. 1;"2807,560"
09:30. 1;"3103,240"
09:45. 1;"3181,920"
10:00. 1;"3579,670"
10:15. 1;"3322,160"
10:30. 1;"3751,000"
10:45. 1;"2446,730"
11:00. 1;"2039,840"
11:15. 1;"1281,750"
11:30. 1;"2230,240"
11:45. 1;"2491,980"
12:00. 1;"1611,680"
12:15. 1;"776,620"
12:30. 1;"476,050"
12:45. 1;"429,200"
13:00. 1;"673,770"
13:15. 1;"690,590"
13:30. 1;"884,570"
13:45. 1;"2086,530"
14:00. 1;"2492,620"
14:15. 1;"3067,020"
14:30. 1;"2820,520"
14:45. 1;"2197,250"
15:00. 1;"1740,730"
15:15. 1;"1595,810"
15:30. 1;"2104,330"
15:45. 1;"925,160"
16:00. 1;"1185,230"
16:15. 1;"1971,710"
16:30. 1;"1533,100"
16:45. 1;"1222,540"
17:00. 1;"1429,540"
17:15. 1;"927,640"
17:30. 1;"811,740"
17:45. 1;"597,230"
18:00. 1;"429,050"
18:15. 1;"317,040"
18:30. 1;"190,050"
18:45. 1;"164,460"
19:00. 1;"88,200"
19:15. 1;"40,360"
19:30. 1;"1,330"
19:45. 1;"0,000"
20:00. 1;
20:15. 1;
20:30. 1;
20:45. 1;
21:00. 1;
21:15. 1;
21:30. 1;
21:45. 1;
22:00. 1;
22:15. 1;
22:30. 1;
22:45. 1;
23:00. 1;
23:15. 1;
23:30. 1;
23:45. 1;
00:00. 2;
00:15. 2;
00:30. 2;
00:45. 2;
01:00. 2;
01:15. 2;
01:30. 2;
01:45. 2;
02:00. 2;
02:15. 2;
02:30. 2;
02:45. 2;
03:00. 2;
03:15. 2;
03:30. 2;
03:45. 2;
04:00. 2;
04:15. 2;
04:30. 2;
04:45. 2;
05:00. 2;
05:15. 2;
05:30. 2;
05:45. 2;
06:00. 2;
06:15. 2;
06:30. 2;
06:45. 2;"0,000"
07:00. 2;"13,360"
07:15. 2;"92,810"
07:30. 2;"237,330"
07:45. 2;"380,490"
08:00. 2;"398,270"
08:15. 2;"400,790"
08:30. 2;"465,100"
08:45. 2;"825,620"
09:00. 2;"1161,320"
09:15. 2;"1671,980"
09:30. 2;"2214,540"
09:45. 2;"2252,980"
10:00. 2;"1955,430"
10:15. 2;"2417,550"
10:30. 2;"2761,180"
10:45. 2;"3112,070"
11:00. 2;"3485,290"
11:15. 2;"3597,690"
11:30. 2;"3690,410"
11:45. 2;"3954,120"
12:00. 2;"4014,090"
12:15. 2;"3951,810"
12:30. 2;"3943,140"
12:45. 2;"3998,040"
13:00. 2;"3696,610"
13:15. 2;"3787,760"
13:30. 2;"3952,860"
13:45. 2;"3602,230"
14:00. 2;"3726,710"
14:15. 2;"3260,600"
14:30. 2;"2879,810"
14:45. 2;"2615,050"
15:00. 2;"3245,000"
15:15. 2;"3044,470"
15:30. 2;"1572,710"
15:45. 2;"1994,450"
16:00. 2;"1331,430"
16:15. 2;"2009,430"
16:30. 2;"1804,050"
16:45. 2;"1408,010"
17:00. 2;"1057,240"
17:15. 2;"946,240"
17:30. 2;"701,090"
17:45. 2;"490,540"
18:00. 2;"314,090"
18:15. 2;"212,310"
18:30. 2;"160,810"
18:45. 2;"122,860"
19:00. 2;"84,520"
19:15. 2;"40,900"
19:30. 2;"3,910"
19:45. 2;"0,000"
20:00. 2;
20:15. 2;
20:30. 2;
20:45. 2;
21:00. 2;
21:15. 2;
21:30. 2;
21:45. 2;
22:00. 2;
22:15. 2;
22:30. 2;
22:45. 2;
23:00. 2;
23:15. 2;
23:30. 2;
23:45. 2;
00:00. 3;
00:15. 3;
00:30. 3;
00:45. 3;
01:00. 3;
01:15. 3;
01:30. 3;
01:45. 3;
02:00. 3;
02:15. 3;
02:30. 3;
02:45. 3;
03:00. 3;
03:15. 3;
03:30. 3;
03:45. 3;
04:00. 3;
04:15. 3;
04:30. 3;
04:45. 3;
05:00. 3;
05:15. 3;
05:30. 3;
05:45. 3;
06:00. 3;
06:15. 3;
06:30. 3;
06:45. 3;"5,140"
07:00. 3;"36,270"
07:15. 3;"77,430"
07:30. 3;"101,050"
07:45. 3;"125,280"
08:00. 3;"153,900"
08:15. 3;"177,720"
08:30. 3;"207,370"
08:45. 3;"1105,180"
09:00. 3;"2514,790"
09:15. 3;"2758,150"
09:30. 3;"2995,530"
09:45. 3;"3188,130"
10:00. 3;"3340,100"
10:15. 3;"3496,940"
10:30. 3;"3660,560"
10:45. 3;"3793,460"
11:00. 3;"3888,210"
11:15. 3;"3919,100"
11:30. 3;"3951,050"
11:45. 3;"3996,600"
12:00. 3;"4064,530"
12:15. 3;"4051,470"
12:30. 3;"4041,250"
12:45. 3;"4040,610"
13:00. 3;"3954,370"
13:15. 3;"3972,900"
13:30. 3;"3863,000"
13:45. 3;"3777,930"
14:00. 3;"3661,530"
14:15. 3;"3549,010"
14:30. 3;"3355,650"
14:45. 3;"3255,320"
15:00. 3;"3105,600"
15:15. 3;"2894,330"
15:30. 3;"2692,110"
15:45. 3;"2500,320"
16:00. 3;"2257,200"
16:15. 3;"2024,010"
16:30. 3;"1757,530"
16:45. 3;"1497,330"
17:00. 3;"1215,100"
17:15. 3;"945,750"
17:30. 3;"679,950"
17:45. 3;"451,330"
18:00. 3;"269,600"
