 ;SB 5000TL-20 442 / Grid voltage phase L1 / Wartości średnie  [V]0
00:15. 31;
00:30. 31;
00:45. 31;
01:00. 31;
01:15. 31;
01:30. 31;
01:45. 31;
02:00. 31;
02:15. 31;
02:30. 31;
02:45. 31;
03:00. 31;
03:15. 31;
03:30. 31;
03:45. 31;
04:00. 31;
04:15. 31;
04:30. 31;
04:45. 31;
05:00. 31;
05:15. 31;
05:30. 31;
05:45. 31;
06:00. 31;
06:15. 31;
06:30. 31;
06:45. 31;
07:00. 31;
07:15. 31;"240,160"
07:30. 31;"240,200"
07:45. 31;"240,010"
08:00. 31;"240,010"
08:15. 31;"239,960"
08:30. 31;"239,850"
08:45. 31;"240,570"
09:00. 31;"240,890"
09:15. 31;"241,140"
09:30. 31;"241,250"
09:45. 31;"240,890"
10:00. 31;"240,610"
10:15. 31;"241,680"
10:30. 31;"242,160"
10:45. 31;"241,980"
11:00. 31;"242,570"
11:15. 31;"242,310"
11:30. 31;"243,830"
11:45. 31;"242,050"
12:00. 31;"241,770"
12:15. 31;"241,290"
12:30. 31;"241,580"
12:45. 31;"241,990"
13:00. 31;"241,910"
13:15. 31;"242,750"
13:30. 31;"242,580"
13:45. 31;"241,860"
14:00. 31;"241,730"
14:15. 31;"242,450"
14:30. 31;"241,330"
14:45. 31;"240,990"
15:00. 31;"241,600"
15:15. 31;"242,180"
15:30. 31;"241,820"
15:45. 31;"241,540"
16:00. 31;"241,390"
16:15. 31;"242,130"
16:30. 31;"241,940"
16:45. 31;"241,760"
17:00. 31;"242,150"
17:15. 31;"242,840"
17:30. 31;"242,820"
17:45. 31;"242,340"
18:00. 31;"241,660"
18:15. 31;"242,200"
18:30. 31;"241,690"
18:45. 31;"241,230"
19:00. 31;"241,340"
19:15. 31;"241,390"
19:30. 31;"241,130"
19:45. 31;
20:00. 31;
20:15. 31;
20:30. 31;
20:45. 31;
21:00. 31;
21:15. 31;
21:30. 31;
21:45. 31;
22:00. 31;
22:15. 31;
22:30. 31;
22:45. 31;
23:00. 31;
23:15. 31;
23:30. 31;
23:45. 31;
00:00. 1;
00:15. 1;
00:30. 1;
00:45. 1;
01:00. 1;
01:15. 1;
01:30. 1;
01:45. 1;
02:00. 1;
02:15. 1;
02:30. 1;
02:45. 1;
03:00. 1;
03:15. 1;
03:30. 1;
03:45. 1;
04:00. 1;
04:15. 1;
04:30. 1;
04:45. 1;
05:00. 1;
05:15. 1;
05:30. 1;
05:45. 1;
06:00. 1;
06:15. 1;
06:30. 1;
06:45. 1;"241,670"
07:00. 1;"241,710"
07:15. 1;"241,100"
07:30. 1;"240,420"
07:45. 1;"241,190"
08:00. 1;"241,560"
08:15. 1;"241,350"
08:30. 1;"240,920"
08:45. 1;"241,330"
09:00. 1;"244,130"
09:15. 1;"244,340"
09:30. 1;"244,830"
09:45. 1;"244,760"
10:00. 1;"245,190"
10:15. 1;"244,840"
10:30. 1;"245,480"
10:45. 1;"243,580"
11:00. 1;"243,050"
11:15. 1;"241,490"
11:30. 1;"242,500"
11:45. 1;"242,790"
12:00. 1;"241,740"
12:15. 1;"240,690"
12:30. 1;"240,100"
12:45. 1;"240,090"
13:00. 1;"240,570"
13:15. 1;"240,840"
13:30. 1;"240,980"
13:45. 1;"243,050"
14:00. 1;"244,000"
14:15. 1;"244,840"
14:30. 1;"243,320"
14:45. 1;"242,350"
15:00. 1;"241,730"
15:15. 1;"242,160"
15:30. 1;"242,680"
15:45. 1;"241,620"
16:00. 1;"242,180"
16:15. 1;"242,820"
16:30. 1;"242,610"
16:45. 1;"242,170"
17:00. 1;"242,060"
17:15. 1;"242,080"
17:30. 1;"241,060"
17:45. 1;"241,160"
18:00. 1;"241,660"
18:15. 1;"241,920"
18:30. 1;"241,340"
18:45. 1;"241,370"
19:00. 1;"241,140"
19:15. 1;"241,140"
19:30. 1;"240,850"
19:45. 1;"240,320"
20:00. 1;
20:15. 1;
20:30. 1;
20:45. 1;
21:00. 1;
21:15. 1;
21:30. 1;
21:45. 1;
22:00. 1;
22:15. 1;
22:30. 1;
22:45. 1;
23:00. 1;
23:15. 1;
23:30. 1;
23:45. 1;
00:00. 2;
00:15. 2;
00:30. 2;
00:45. 2;
01:00. 2;
01:15. 2;
01:30. 2;
01:45. 2;
02:00. 2;
02:15. 2;
02:30. 2;
02:45. 2;
03:00. 2;
03:15. 2;
03:30. 2;
03:45. 2;
04:00. 2;
04:15. 2;
04:30. 2;
04:45. 2;
05:00. 2;
05:15. 2;
05:30. 2;
05:45. 2;
06:00. 2;
06:15. 2;
06:30. 2;
06:45. 2;"240,950"
07:00. 2;"241,030"
07:15. 2;"240,770"
07:30. 2;"240,730"
07:45. 2;"240,900"
08:00. 2;"241,060"
08:15. 2;"241,570"
08:30. 2;"241,290"
08:45. 2;"241,830"
09:00. 2;"242,400"
09:15. 2;"243,300"
09:30. 2;"243,620"
09:45. 2;"243,960"
10:00. 2;"243,770"
10:15. 2;"245,200"
10:30. 2;"245,280"
10:45. 2;"245,270"
11:00. 2;"245,380"
11:15. 2;"244,730"
11:30. 2;"245,120"
11:45. 2;"244,840"
12:00. 2;"245,050"
12:15. 2;"245,360"
12:30. 2;"245,210"
12:45. 2;"244,700"
13:00. 2;"244,360"
13:15. 2;"244,950"
13:30. 2;"245,270"
13:45. 2;"244,800"
14:00. 2;"244,900"
14:15. 2;"244,460"
14:30. 2;"243,890"
14:45. 2;"243,780"
15:00. 2;"244,940"
15:15. 2;"244,760"
15:30. 2;"242,570"
15:45. 2;"243,130"
16:00. 2;"242,540"
16:15. 2;"243,070"
16:30. 2;"242,010"
16:45. 2;"241,690"
17:00. 2;"241,240"
17:15. 2;"241,340"
17:30. 2;"240,760"
17:45. 2;"240,970"
18:00. 2;"240,650"
18:15. 2;"241,280"
18:30. 2;"241,070"
18:45. 2;"240,460"
19:00. 2;"240,240"
19:15. 2;"240,330"
19:30. 2;"240,400"
19:45. 2;"239,950"
20:00. 2;
20:15. 2;
20:30. 2;
20:45. 2;
21:00. 2;
21:15. 2;
21:30. 2;
21:45. 2;
22:00. 2;
22:15. 2;
22:30. 2;
22:45. 2;
23:00. 2;
23:15. 2;
23:30. 2;
23:45. 2;
00:00. 3;
00:15. 3;
00:30. 3;
00:45. 3;
01:00. 3;
01:15. 3;
01:30. 3;
01:45. 3;
02:00. 3;
02:15. 3;
02:30. 3;
02:45. 3;
03:00. 3;
03:15. 3;
03:30. 3;
03:45. 3;
04:00. 3;
04:15. 3;
04:30. 3;
04:45. 3;
05:00. 3;
05:15. 3;
05:30. 3;
05:45. 3;
06:00. 3;
06:15. 3;
06:30. 3;
06:45. 3;"239,960"
07:00. 3;"240,870"
07:15. 3;"240,620"
07:30. 3;"240,250"
07:45. 3;"240,170"
08:00. 3;"240,200"
08:15. 3;"240,440"
08:30. 3;"240,090"
08:45. 3;"241,570"
09:00. 3;"243,900"
09:15. 3;"244,310"
09:30. 3;"244,880"
09:45. 3;"245,220"
10:00. 3;"245,410"
10:15. 3;"246,040"
10:30. 3;"246,200"
10:45. 3;"246,580"
11:00. 3;"246,620"
11:15. 3;"246,540"
11:30. 3;"246,050"
11:45. 3;"245,740"
12:00. 3;"245,440"
12:15. 3;"246,310"
12:30. 3;"246,440"
12:45. 3;"246,570"
13:00. 3;"246,510"
13:15. 3;"246,810"
13:30. 3;"246,300"
13:45. 3;"245,600"
14:00. 3;"246,110"
14:15. 3;"246,090"
14:30. 3;"245,380"
14:45. 3;"245,090"
15:00. 3;"244,730"
15:15. 3;"245,030"
15:30. 3;"244,570"
15:45. 3;"244,410"
16:00. 3;"244,020"
16:15. 3;"243,510"
16:30. 3;"243,080"
16:45. 3;"242,680"
17:00. 3;"242,280"
17:15. 3;"242,420"
17:30. 3;"241,330"
17:45. 3;"240,790"
18:00. 3;"240,520"
18:15. 3;"241,150"
18:30. 3;"240,580"
18:45. 3;"240,390"
19:00. 3;"240,800"
19:15. 3;"240,950"
19:30. 3;"240,080"
19:45. 3;"239,810"
20:00. 3;
20:15. 3;
