 ;SB 5000TL-20 442 / Grid current phase L1 / Wartości średnie  [A]0
00:15. 31;
00:30. 31;
00:45. 31;
01:00. 31;
01:15. 31;
01:30. 31;
01:45. 31;
02:00. 31;
02:15. 31;
02:30. 31;
02:45. 31;
03:00. 31;
03:15. 31;
03:30. 31;
03:45. 31;
04:00. 31;
04:15. 31;
04:30. 31;
04:45. 31;
05:00. 31;
05:15. 31;
05:30. 31;
05:45. 31;
06:00. 31;
06:15. 31;
06:30. 31;
06:45. 31;
07:00. 31;
07:15. 31;"0,000"
07:30. 31;"0,000"
07:45. 31;"0,000"
08:00. 31;"0,000"
08:15. 31;"0,000"
08:30. 31;"0,000"
08:45. 31;"0,480"
09:00. 31;"1,070"
09:15. 31;"1,800"
09:30. 31;"2,130"
09:45. 31;"1,800"
10:00. 31;"1,200"
10:15. 31;"1,890"
10:30. 31;"1,970"
10:45. 31;"2,930"
11:00. 31;"4,440"
11:15. 31;"4,300"
11:30. 31;"9,760"
11:45. 31;"4,540"
12:00. 31;"4,760"
12:15. 31;"2,610"
12:30. 31;"4,410"
12:45. 31;"4,800"
13:00. 31;"4,250"
13:15. 31;"6,720"
13:30. 31;"6,090"
13:45. 31;"4,540"
14:00. 31;"3,460"
14:15. 31;"3,960"
14:30. 31;"2,680"
14:45. 31;"2,380"
15:00. 31;"2,810"
15:15. 31;"2,960"
15:30. 31;"2,200"
15:45. 31;"1,640"
16:00. 31;"1,740"
16:15. 31;"2,040"
16:30. 31;"2,600"
16:45. 31;"1,420"
17:00. 31;"2,810"
17:15. 31;"2,580"
17:30. 31;"2,210"
17:45. 31;"1,850"
18:00. 31;"0,830"
18:15. 31;"0,380"
18:30. 31;"0,220"
18:45. 31;"0,150"
19:00. 31;"0,090"
19:15. 31;"0,010"
19:30. 31;"0,000"
19:45. 31;
20:00. 31;
20:15. 31;
20:30. 31;
20:45. 31;
21:00. 31;
21:15. 31;
21:30. 31;
21:45. 31;
22:00. 31;
22:15. 31;
22:30. 31;
22:45. 31;
23:00. 31;
23:15. 31;
23:30. 31;
23:45. 31;
00:00. 1;
00:15. 1;
00:30. 1;
00:45. 1;
01:00. 1;
01:15. 1;
01:30. 1;
01:45. 1;
02:00. 1;
02:15. 1;
02:30. 1;
02:45. 1;
03:00. 1;
03:15. 1;
03:30. 1;
03:45. 1;
04:00. 1;
04:15. 1;
04:30. 1;
04:45. 1;
05:00. 1;
05:15. 1;
05:30. 1;
05:45. 1;
06:00. 1;
06:15. 1;
06:30. 1;
06:45. 1;"0,000"
07:00. 1;"0,060"
07:15. 1;"0,230"
07:30. 1;"0,470"
07:45. 1;"0,630"
08:00. 1;"0,900"
08:15. 1;"1,120"
08:30. 1;"1,170"
08:45. 1;"3,510"
09:00. 1;"10,340"
09:15. 1;"11,490"
09:30. 1;"12,660"
09:45. 1;"13,000"
10:00. 1;"14,600"
10:15. 1;"13,560"
10:30. 1;"15,260"
10:45. 1;"10,030"
11:00. 1;"8,390"
11:15. 1;"5,310"
11:30. 1;"9,200"
11:45. 1;"10,230"
12:00. 1;"6,650"
12:15. 1;"3,230"
12:30. 1;"1,980"
12:45. 1;"1,790"
13:00. 1;"2,800"
13:15. 1;"2,870"
13:30. 1;"3,670"
13:45. 1;"8,580"
14:00. 1;"10,210"
14:15. 1;"12,520"
14:30. 1;"11,590"
14:45. 1;"9,070"
15:00. 1;"7,200"
15:15. 1;"6,590"
15:30. 1;"8,680"
15:45. 1;"3,830"
16:00. 1;"4,890"
16:15. 1;"8,120"
16:30. 1;"6,320"
16:45. 1;"5,050"
17:00. 1;"5,910"
17:15. 1;"3,830"
17:30. 1;"3,370"
17:45. 1;"2,480"
18:00. 1;"1,780"
18:15. 1;"1,310"
18:30. 1;"0,790"
18:45. 1;"0,680"
19:00. 1;"0,370"
19:15. 1;"0,170"
19:30. 1;"0,010"
19:45. 1;"0,000"
20:00. 1;
20:15. 1;
20:30. 1;
20:45. 1;
21:00. 1;
21:15. 1;
21:30. 1;
21:45. 1;
22:00. 1;
22:15. 1;
22:30. 1;
22:45. 1;
23:00. 1;
23:15. 1;
23:30. 1;
23:45. 1;
00:00. 2;
00:15. 2;
00:30. 2;
00:45. 2;
01:00. 2;
01:15. 2;
01:30. 2;
01:45. 2;
02:00. 2;
02:15. 2;
02:30. 2;
02:45. 2;
03:00. 2;
03:15. 2;
03:30. 2;
03:45. 2;
04:00. 2;
04:15. 2;
04:30. 2;
04:45. 2;
05:00. 2;
05:15. 2;
05:30. 2;
05:45. 2;
06:00. 2;
06:15. 2;
06:30. 2;
06:45. 2;"0,000"
07:00. 2;"0,060"
07:15. 2;"0,390"
07:30. 2;"0,990"
07:45. 2;"1,580"
08:00. 2;"1,660"
08:15. 2;"1,660"
08:30. 2;"1,930"
08:45. 2;"3,410"
09:00. 2;"4,790"
09:15. 2;"6,870"
09:30. 2;"9,090"
09:45. 2;"9,240"
10:00. 2;"8,020"
10:15. 2;"9,860"
10:30. 2;"11,260"
10:45. 2;"12,690"
11:00. 2;"14,200"
11:15. 2;"14,700"
11:30. 2;"15,060"
11:45. 2;"16,150"
12:00. 2;"16,380"
12:15. 2;"16,110"
12:30. 2;"16,080"
12:45. 2;"16,340"
13:00. 2;"15,130"
13:15. 2;"15,460"
13:30. 2;"16,120"
13:45. 2;"14,710"
14:00. 2;"15,210"
14:15. 2;"13,320"
14:30. 2;"11,770"
14:45. 2;"10,690"
15:00. 2;"13,250"
15:15. 2;"12,430"
15:30. 2;"6,470"
15:45. 2;"8,190"
16:00. 2;"5,480"
16:15. 2;"8,270"
16:30. 2;"7,460"
16:45. 2;"5,830"
17:00. 2;"4,380"
17:15. 2;"3,920"
17:30. 2;"2,910"
17:45. 2;"2,040"
18:00. 2;"1,310"
18:15. 2;"0,880"
18:30. 2;"0,670"
18:45. 2;"0,510"
19:00. 2;"0,350"
19:15. 2;"0,170"
19:30. 2;"0,020"
19:45. 2;"0,000"
20:00. 2;
20:15. 2;
20:30. 2;
20:45. 2;
21:00. 2;
21:15. 2;
21:30. 2;
21:45. 2;
22:00. 2;
22:15. 2;
22:30. 2;
22:45. 2;
23:00. 2;
23:15. 2;
23:30. 2;
23:45. 2;
00:00. 3;
00:15. 3;
00:30. 3;
00:45. 3;
01:00. 3;
01:15. 3;
01:30. 3;
01:45. 3;
02:00. 3;
02:15. 3;
02:30. 3;
02:45. 3;
03:00. 3;
03:15. 3;
03:30. 3;
03:45. 3;
04:00. 3;
04:15. 3;
04:30. 3;
04:45. 3;
05:00. 3;
05:15. 3;
05:30. 3;
05:45. 3;
06:00. 3;
06:15. 3;
06:30. 3;
06:45. 3;"0,020"
07:00. 3;"0,150"
07:15. 3;"0,320"
07:30. 3;"0,420"
07:45. 3;"0,520"
08:00. 3;"0,640"
08:15. 3;"0,740"
08:30. 3;"0,860"
08:45. 3;"4,560"
09:00. 3;"10,310"
09:15. 3;"11,290"
09:30. 3;"12,230"
09:45. 3;"13,000"
10:00. 3;"13,610"
10:15. 3;"14,210"
10:30. 3;"14,870"
10:45. 3;"15,380"
11:00. 3;"15,770"
11:15. 3;"15,900"
11:30. 3;"16,060"
11:45. 3;"16,260"
12:00. 3;"16,560"
12:15. 3;"16,450"
12:30. 3;"16,400"
12:45. 3;"16,390"
13:00. 3;"16,050"
13:15. 3;"16,100"
13:30. 3;"15,690"
13:45. 3;"15,380"
14:00. 3;"14,880"
14:15. 3;"14,420"
14:30. 3;"13,680"
14:45. 3;"13,280"
15:00. 3;"12,690"
15:15. 3;"11,810"
15:30. 3;"11,010"
15:45. 3;"10,230"
16:00. 3;"9,250"
16:15. 3;"8,310"
16:30. 3;"7,230"
16:45. 3;"6,170"
17:00. 3;"5,020"
17:15. 3;"3,900"
17:30. 3;"2,820"
17:45. 3;"1,880"
18:00. 3;"1,120"
18:15. 3;"0,700"
18:30. 3;"0,550"
18:45. 3;"0,450"
19:00. 3;"0,320"
19:15. 3;"0,160"
19:30. 3;"0,020"
19:45. 3;"0,000"
20:00. 3;
20:15. 3;
